"","ligand","receptor"
"1","A2m","Lrp1"
"2","Aanat","Mtnr1a"
"3","Aanat","Mtnr1b"
"4","Ace","Agtr2"
"5","Ace","Bdkrb2"
"6","Adam10","Axl"
"7","Adam10","Epha3"
"8","Adam12","Itga9"
"9","Adam12","Itgb1"
"10","Adam12","Sdc4"
"11","Adam15","Itga5"
"12","Adam15","Itga9"
"13","Adam15","Itgav"
"14","Adam15","Itgb1"
"15","Adam15","Itgb3"
"16","Adam17","Erbb4"
"17","Adam17","Itga5"
"18","Adam17","Itgb1"
"19","Adam17","Notch1"
"20","Adam23","Itga5"
"21","Adam23","Itgb3"
"22","Adam28","Itga4"
"23","Adam2","Cd9"
"24","Adam2","Itga6"
"25","Adam2","Itga9"
"26","Adam2","Itgb1"
"27","Adam2","Itgb7"
"28","Adam9","Itga3"
"29","Adam9","Itga6"
"30","Adam9","Itgav"
"31","Adam9","Itgb1"
"32","Adam9","Itgb5"
"33","Adcyap1","Adcyap1r1"
"34","Adcyap1","Sctr"
"35","Adcyap1","Vipr1"
"36","Adcyap1","Vipr2"
"37","Adipoq","Adipor1"
"38","Adipoq","Adipor2"
"39","Adm2","Calcr"
"40","Adm2","Calcrl"
"41","Adm2","Ramp1"
"42","Adm","Calcr"
"43","Adm","Calcrl"
"44","Adm","Gpr182"
"45","Adm","Mrgprx2"
"46","Adm","Ramp2"
"47","Agrn","Atp1a3"
"48","Agrn","Lrp4"
"49","Agrn","Musk"
"50","Agrp","Mc3r"
"51","Agrp","Mc4r"
"52","Agrp","Mc5r"
"53","Agrp","Sdc3"
"54","Agt","Agtr1"
"55","Agt","Agtr2"
"56","Agt","Lrp2"
"57","Agt","Mas1"
"58","Ahsg","Insr"
"59","Alb","Lrp2"
"60","Alox5ap","Alox5"
"61","Amelx","Lamp1"
"62","Amely","Lamp1"
"63","Amh","Acvr1"
"64","Amh","Amhr2"
"65","Amh","Egfr"
"66","Angpt1","Itga5"
"67","Angpt1","Itgb1"
"68","Angpt1","Tek"
"69","Angpt1","Tie1"
"70","Angpt2","Tek"
"71","Angpt2","Tie1"
"72","Angpt4","Tek"
"73","Angpt4","Tie1"
"74","Angptl1","Tek"
"75","Angptl2","Tie1"
"76","Angptl3","Itga5"
"77","Angptl3","Itgav"
"78","Angptl3","Itgb3"
"79","Angptl4","Tie1"
"80","Anxa1","Dysf"
"81","Anxa1","Egfr"
"82","Anxa1","Fpr1"
"83","Anxa1","Fpr2"
"84","Anxa1","Fpr3"
"85","Apln","Aplnr"
"86","Apob","Calcr"
"87","Apob","Itgam"
"88","Apob","Itgb2"
"89","Apob","Ldlr"
"90","Apob","Lrp2"
"91","Apob","Lrp6"
"92","Apob","Lrp8"
"93","Apob","Lsr"
"94","Apob","Olr1"
"95","Apoc3","Sdc2"
"96","Apoc3","Tlr2"
"97","Apod","Lepr"
"98","Apoe","Chrna4"
"99","Apoe","Ldlr"
"100","Apoe","Lrp1"
"101","Apoe","Lrp2"
"102","Apoe","Lrp5"
"103","Apoe","Lrp8"
"104","Apoe","Scarb1"
"105","Apoe","Sorl1"
"106","Apoe","Vldlr"
"107","App","Cav1"
"108","App","Cd74"
"109","App","Fpr2"
"110","App","Gpc1"
"111","App","Lrp1"
"112","App","Ncstn"
"113","App","Ngfr"
"114","App","Slc45a3"
"115","App","Tnfrsf21"
"116","Aregb","Egfr"
"117","Aregb","Erbb3"
"118","Areg","Egfr"
"119","Areg","Erbb3"
"120","Arf1","Chrm3"
"121","Arf1","Insr"
"122","Arf1","Pld2"
"123","Artn","Gfra1"
"124","Artn","Gfra3"
"125","Artn","Ret"
"126","A","Atrn"
"127","A","F11r"
"128","A","Mc1r"
"129","A","Mc2r"
"130","A","Mc3r"
"131","A","Mc4r"
"132","A","Mc5r"
"133","A","Mgrn1"
"134","Avp","Avpr1a"
"135","Avp","Avpr1b"
"136","Avp","Avpr2"
"137","Avp","Oxtr"
"138","Azgp1","Itgav"
"139","B2m","Cd1a"
"140","B2m","Cd1b"
"141","B2m","Cd247"
"142","B2m","Cd3d"
"143","B2m","Cd3g"
"144","B2m","Hfe"
"145","B2m","Hla-f"
"146","B2m","Kir2dl1"
"147","B2m","Kir2dl3"
"148","B2m","Kir3dl1"
"149","B2m","Klrc1"
"150","B2m","Klrd1"
"151","B2m","Lilrb1"
"152","B2m","Lilrb2"
"153","B2m","Tfrc"
"154","Bcan","Egfr"
"155","Bcan","Nrcam"
"156","Bdnf","Ddr1"
"157","Bdnf","Drd4"
"158","Bdnf","Ngfr"
"159","Bdnf","Ngfrap1"
"160","Bdnf","Ntrk2"
"161","Bdnf","Sort1"
"162","Bgn","Ly96"
"163","Bgn","Tlr1"
"164","Bgn","Tlr2"
"165","Bgn","Tlr4"
"166","Bmp10","Acvr1"
"167","Bmp10","Acvr2a"
"168","Bmp10","Acvr2b"
"169","Bmp10","Acvrl1"
"170","Bmp10","Bmpr1a"
"171","Bmp10","Bmpr1b"
"172","Bmp10","Bmpr2"
"173","Bmp10","Eng"
"174","Bmp15","Acvr1"
"175","Bmp15","Acvr2a"
"176","Bmp15","Acvr2b"
"177","Bmp15","Bmpr1a"
"178","Bmp15","Bmpr1b"
"179","Bmp15","Bmpr2"
"180","Bmp2","Acvr1"
"181","Bmp2","Acvr2a"
"182","Bmp2","Acvr2b"
"183","Bmp2","Bmpr1a"
"184","Bmp2","Bmpr1b"
"185","Bmp2","Bmpr2"
"186","Bmp2","Eng"
"187","Bmp2","Hfe2"
"188","Bmp3","Acvr1"
"189","Bmp3","Acvr2a"
"190","Bmp3","Acvr2b"
"191","Bmp3","Bmpr1a"
"192","Bmp3","Bmpr1b"
"193","Bmp3","Bmpr2"
"194","Bmp4","Acvr1"
"195","Bmp4","Acvr2a"
"196","Bmp4","Acvr2b"
"197","Bmp4","Bmpr1a"
"198","Bmp4","Bmpr1b"
"199","Bmp4","Bmpr2"
"200","Bmp4","Hfe2"
"201","Bmp5","Acvr1"
"202","Bmp5","Acvr2a"
"203","Bmp5","Acvr2b"
"204","Bmp5","Bmpr1a"
"205","Bmp5","Bmpr1b"
"206","Bmp5","Bmpr2"
"207","Bmp5","Hfe2"
"208","Bmp6","Acvr1"
"209","Bmp6","Acvr2a"
"210","Bmp6","Acvr2b"
"211","Bmp6","Bmpr1a"
"212","Bmp6","Bmpr1b"
"213","Bmp6","Bmpr2"
"214","Bmp7","Acvr1"
"215","Bmp7","Acvr2a"
"216","Bmp7","Acvr2b"
"217","Bmp7","Bmpr1a"
"218","Bmp7","Bmpr1b"
"219","Bmp7","Bmpr2"
"220","Bmp7","Eng"
"221","Bmp8b","Acvr1"
"222","Bmp8b","Acvr2a"
"223","Bmp8b","Acvr2b"
"224","Bmp8b","Bmpr1a"
"225","Bmp8b","Bmpr1b"
"226","Bmp8b","Bmpr2"
"227","Bst1","Cav1"
"228","Btc","Egfr"
"229","Btc","Erbb2"
"230","Btc","Erbb3"
"231","Btc","Erbb4"
"232","Btla","Cd247"
"233","Btla","Cd79a"
"234","Btla","Tnfrsf14"
"235","Btla","Vtcn1"
"236","C1qa","Cd93"
"237","C1qa","Cr1"
"238","C1qa","Cspg4"
"239","C1qb","Lrp1"
"240","C1qtnf1","Avpr2"
