"Amp.Batch.ID"	"Seq.Batch.ID"	"Batch.Set.ID"	"Description"	"sorting.scheme"	"developmental.time"	"kinetic.group"	"Day.of.birth"	"C.section"	"treatment"	"coculture"	"tissue"	"Replicate"	"injection.date"	"reads"	"reads_with_known_cell_barcode"	"reads_bad_quality_well_barcode"	"reads.spike_mapped"	"reads.gene_mapped"	"spike_yield"	"gene_umis"	"singleton_gene_umis"	"spike_umis"	"gene_umis_neg_control"	"noise_estimation"	"avg_noffsets_per_rmt"	"avg_reads_per_rmt"	"avg_noffsets_per_rmt_neg_ctrl"	"avg_reads_per_rmt_neg_ctrl"	"spike_count"
"AB1183"	"SB1"	"Lung_E16.5_CD45-"	"E16.5(1)_CD45-_ind3"	"CD45-"	"E16.5"	"E16.5"	""	NA	""	""	"lung"	1	NA	71234	68037	0	717	7517	2.4	1985	1091	189	144	0.073	2.8	3.79	2.54	4.07	0
"AB1185"	"SB1"	"Lung_d7_CD45+"	"d7(1)_CD45+_ind1"	"CD45+"	"PN_7d"	"P_d7"	"19.5"	NA	""	""	"lung"	1	NA	74433	71149	0	1241	8917	2.5	1614	820	195	98	0.061	3.85	5.52	2.59	4.41	0
"AB1186"	"SB1"	"Lung_d7_CD45+"	"d7(1)_CD45+_ind2"	"CD45+"	"PN_7d"	"P_d7"	"19.5"	NA	""	""	"lung"	1	NA	71097	67816	0	1600	10533	2.8	1567	814	215	151	0.096	4.24	6.71	3.04	5.99	0
"AB1245"	"SB1"	"Lung_NB_CD45+"	"NB(1)_CD45+_ind1"	"CD45+"	"PN_10h"	"P_early"	"19.5"	NA	""	""	"lung"	1	NA	79267	75916	0	1524	15302	2.1	1630	680	163	98	0.06	5.38	9.38	3.92	8.23	0
"AB1246"	"SB1"	"Lung_NB_CD45+"	"NB(1)_CD45+_ind2"	"CD45+"	"PN_10h"	"P_early"	"19.5"	NA	""	""	"lung"	1	NA	90316	86600	0	1586	17509	2.1	1865	806	163	87	0.047	5.4	9.39	3.83	7.67	0
"AB1247"	"SB1"	"Lung_NB_CD45-"	"NB(1)_CD45-_ind1"	"CD45-"	"PN_10h"	"P_early"	"19.5"	NA	""	""	"lung"	1	NA	86303	82773	0	2099	13442	2.6	1054	510	201	80	0.076	5.62	12.6	4.19	11.67	0
"AB1248"	"SB1"	"Lung_NB_CD45-"	"NB(1)_CD45-_ind2"	"CD45-"	"PN_10h"	"P_early"	"19.5"	NA	""	""	"lung"	1	NA	92872	89052	0	2209	14492	3	1079	525	237	57	0.053	5.84	13.26	4.22	11.46	0
"AB1249"	"SB1"	"Lung_E18.5_CD45+"	"E18.5(1)_CD45+_ind1"	"CD45+"	"E18.5"	"E_late"	""	NA	""	""	"lung"	1	NA	95908	91837	0	971	17462	2	2607	1050	156	72	0.027	4.05	6.7	2.95	5.13	0
"AB1250"	"SB1"	"Lung_E18.5_CD45+"	"E18.5(1)_CD45+_ind2"	"CD45+"	"E18.5"	"E_late"	""	NA	""	""	"lung"	1	NA	87142	83341	0	1067	14234	2.5	2703	1055	195	74	0.028	3.66	5.27	2.67	4.82	0
"AB1251"	"SB1"	"Lung_E18.5_CD45-"	"E18.5(1)_CD45-_ind2"	"CD45-"	"E18.5"	"E_late"	""	NA	""	""	"lung"	1	NA	90908	87087	0	944	17793	2.3	3337	1263	180	122	0.037	3.66	5.33	2.96	4.86	0
"AB1409"	"SB1"	"Lung_E16.5_CD45+"	"E16.5(1)_CD45+_ind3"	"CD45+"	"E16.5"	"E16.5"	""	NA	""	""	"lung"	1	NA	112050	107750	0	628	17957	1.6	3740	1361	121	136	0.036	3.46	4.8	3.04	4.88	0
"AB1410"	"SB1"	"Lung_E16.5_CD45-"	"E16.5(1)_CD45-_ind1"	"CD45-"	"E16.5"	"E16.5"	""	NA	""	""	"lung"	1	NA	105215	101084	0	2447	15346	2.9	1485	612	225	99	0.066	5.71	10.29	5.2	12.62	0
"AB1411"	"SB1"	"Lung_E18.5_CD45-"	"E18.5(1)_CD45-_ind3"	"CD45-"	"E18.5"	"E_late"	""	NA	""	""	"lung"	1	NA	104531	100604	0	2129	21122	4	2930	1090	311	133	0.045	4.79	7.21	3.13	5.71	0
